Ультрабук DELL Inspiron 15 5000 series 5501-5463SLV-PUS 15.6 ' Intel Core i5 1035G1 8 Gb 512 Gb SSD Intel UHD Graphics G1,83522,https://svetofor.info/images/thumbnails/300/300/detailed/213/ultrabuk-dell-inspiron-15-5000-series-5501-5463slv-pus-156-intel-core-i5-1035g1-8-gb-512-gb-ssd-intel-uhd-graphics-g1.jpg
Внешний накопитель SSD Western Digital My Passport Go 1 ТБ,14399,https://svetofor.info/images/thumbnails/300/300/detailed/225/vneshnij-nakopitel-ssd-western-digital-my-passport-go-1-tb-1.jpg
Ультрабук Foxcon Silver Intel Dual Core N3450 14 ' Intel Dual Core N3450 8 Gb 256 Gb SSD Intel HD Graphics,24160,https://svetofor.info/images/thumbnails/300/300/detailed/211/noutbuk-foxcon-silver-intel-dual-core-n3450-14-intel-dual-core-n3450-8-gb-256-gb-ssd-intel-hd-graphics.jpg
Ультрабук HP Elite x2 G4 02-2020 8AD03UT#ABA 12.3 ' Intel Core i5-8365U 8 Gb DDR3 256+32 Gb SSD Flash Memory Intel UHD Graphics,89150,https://svetofor.info/images/thumbnails/300/300/detailed/203/ultrabuk-hp-elite-x2-g4-02-2020-8ad03utaba-123-intel-core-i5-8365u-8-gb-ddr3-25632-gb-ssd-flash-memory-intel-uhd-graphics.jpg
Ноутбук MSI GS63 Stealth 8RE-010US 9S7-16K512-046 15.6 ' Intel Core i7 16 Gb DDR4 1000+256 Gb HDD SSD Nvidia Geforce GTX 1060,112319,https://svetofor.info/images/thumbnails/300/300/detailed/203/noutbuk-msi-gs63-stealth-8re-010us-9s7-16k512-046-156-intel-core-i7-16-gb-ddr4-1000256-gb-hdd-ssd-nvidia-geforce-gtx-1060.jpg
Ноутбук ASUS X540UB 15.6 ' Intel Core i5 8250U 12 Gb DDR4 512 Gb SSD NVIDIA GeForce MX110 серебристый,73430,https://svetofor.info/images/thumbnails/300/300/detailed/216/noutbuk-asus-x540ub-156-intel-core-i5-8250u-12-gb-ddr4-512-gb-ssd-nvidia-geforce-mx110-serebristyj-1.jpg
Ультрабук Dell XPS 13 XPS9370-V54MC 13.3 ' Intel Core i7 8550U 8 Gb DDR3 256 Gb SSD Intel UHD Graphics 620 серебристый,107708,https://svetofor.info/images/thumbnails/300/300/detailed/244/ultrabuk-dell-xps-13-xps9370-v54mc-133-intel-core-i7-8550u-8-gb-ddr3-256-gb-ssd-intel-uhd-graphics-620-serebristyj-2.jpg
Внешний жесткий диск Adata HD330 1 Tb синий,4733,https://svetofor.info/images/thumbnails/300/300/detailed/301/vneshnij-zhestkij-disk-adata-hd330-1-tb-sinij-2-1.jpg
Наушники Sven AP-G988MV черно-красные,2533,https://svetofor.info/images/thumbnails/300/300/detailed/170/naushniki-sven-ap-g988mv-cherno-krasnye.jpg
Ноутбук Acer Extensa EX2540-36H1 15.6 ' Intel Core i3 6006U 4 Gb DDR4 120 Gb SSD Intel HD Graphics 520 черный,45154,https://svetofor.info/images/thumbnails/300/300/detailed/274/noutbuk-acer-extensa-ex2540-36h1-156-intel-core_i3-6006u-4-gb-ddr4-120-gb-ssd-intel-hd-graphics-520-2.jpg
Беспроводная мышь Sven RX-300 черная,722,https://svetofor.info/images/thumbnails/300/300/detailed/260/besprovodnaja-mysh-sven-rx-300-chernaya-3.jpg
Проводная мышь A4Tech N-302 V-Track черный,521,https://svetofor.info/images/thumbnails/300/300/detailed/149/provodnaja-mysh-a4tech-n-302-v-track-chernyj-1.jpg
"Сумка для ноутбука WXD NC1211081, 16""",1984,https://svetofor.info/images/thumbnails/300/300/detailed/108/sumka-dlja-noutbuka-wxd-nc1211081-16.jpg
Флеш карта Adata S102 Pro 32Gb USB 3.0 синяя,1218,https://svetofor.info/images/thumbnails/300/300/detailed/94/Z0000034257.jpg
Коврик для мышки Dtech WS-G4,174,https://svetofor.info/images/thumbnails/300/300/detailed/80/product-106576.jpg
Карта памяти Sandisk Ultra SDHC 64Gb Class 10,1500,https://svetofor.info/images/thumbnails/300/300/detailed/36/Ultra-SDHC-10-64gb.jpg
Наушники с микрофоном Somic SH-R3V,980,https://svetofor.info/images/thumbnails/300/300/detailed/71/product-82048.jpg
Ноутбук Foxcon Silver 15.6 ' Intel Celeron J4115 8 Gb DDR4 128 Gb SSD Intel HD Graphics,,https://svetofor.info/images/thumbnails/300/300/detailed/300/noutbuk-foxcon-silver-156-intel-celeron-j4115-8-gb-ddr4-128-gb-ssd-intel-hd-graphics-1.jpg
Наушники Toshiba RZEJHD333E gold,14007,https://svetofor.info/images/thumbnails/300/300/detailed/300/naushniki-toshiba-rzejhd333e-gold-2-1.jpg
Наушники Toshiba RZE-BT180H blue,2501,https://svetofor.info/images/thumbnails/300/300/detailed/300/naushniki-toshiba-rze-bt180h-blue-2-1.jpg
Web-Камера Logitech C100 640x480,,https://svetofor.info/images/thumbnails/300/300/detailed/300/web-kamera-logitek-c100-640x480-1.jpg
Беспроводная мышь LOGITECH MX Master 3,,https://svetofor.info/images/thumbnails/300/300/detailed/301/besprovodnaja-mysh-logitech-mx-master-3-2-1.jpg
Проводная мышь RAZER MAMBA CHROMA TOURNAMENT,,https://svetofor.info/images/thumbnails/300/300/detailed/301/provodnaja-mysh-razer-mamba-chroma-tournament-2-1.jpg
Проводная мышь RAZER DEATH ADDER Essential,,https://svetofor.info/images/thumbnails/300/300/detailed/301/provodnaja-mysh-razer-dea-th-adder-essential-1.jpg
Клавиатура LOGITECH MX Kyes Mini,,https://svetofor.info/images/thumbnails/300/300/detailed/301/klaviatura-logitech-mx-kyes-mini-2-1.jpg
Проводная мышь RAZER NAGA EPIC ELITE MMO GAMING MOUSE,,https://svetofor.info/images/thumbnails/300/300/detailed/301/provodnaja-mysh-razer-naga-epic-elite-mmo-gaming-mouse-2-1.jpg
Планшет Apple iPad Pro 12.9 256 Gb,114843,https://svetofor.info/images/thumbnails/300/300/detailed/301/planshet-jeppl-ipad-pro-129-256-gb-1.jpg
